COMUNIDAD AUTÓNOMA,Vías interurbanas,Vías interurbanas,Vías interurbanas,Vías interurbanas,Vías interurbanas,Vías urbanas,Vías urbanas,Vías urbanas,Vías urbanas,Vías urbanas,Total,Total,Total,Total,Total,Población,Población
Unnamed: 0_level_1,ACCIDENTES CON VÍCTIMAS,ACCIDENTES MORTALES,FALLECIDOS,HERIDOS HOSPITALIZADOS,HERIDOS NO HOSPITALIZADOS,ACCIDENTES CON VÍCTIMAS,ACCIDENTES MORTALES,FALLECIDOS,HERIDOS HOSPITALIZADOS,HERIDOS NO HOSPITALIZADOS,ACCIDENTES CON VÍCTIMAS,ACCIDENTES MORTALES,FALLECIDOS,HERIDOS HOSPITALIZADOS,HERIDOS NO HOSPITALIZADOS,Periodo,Total
Andalucía,5525,168,187,667,8497,11286,87,87,617,14419,16811,255,274,1284,22916,2018,8384408
Aragón,1048,64,71,175,1382,1102,14,14,155,1203,2150,78,85,330,2585,2018,1308728
"Asturias, Principado de",937,28,36,126,1285,1131,7,7,78,1384,2068,35,43,204,2669,2018,1028244
"Balears, Illes",1391,40,42,175,1983,2059,11,11,135,2349,3450,51,53,310,4332,2018,1128908
Canarias,1918,44,45,269,2750,1521,23,23,132,1809,3439,67,68,401,4559,2018,2127685
Cantabria,524,14,17,44,798,104,5,6,18,111,628,19,23,62,909,2018,580229
Castilla - La Mancha,1513,82,90,244,2165,981,10,10,95,1145,2494,92,100,339,3310,2018,2026807
Castilla y León,2308,127,142,404,3087,1956,34,34,199,2179,4264,161,176,603,5266,2018,2409164
Cataluña,8855,192,221,765,12235,18052,103,105,929,21497,26907,295,326,1694,33732,2018,7600065
Extremadura,675,38,40,118,967,780,11,11,69,914,1455,49,51,187,1881,2018,1072863
Galicia,2860,110,115,396,3955,1520,29,29,226,1690,4380,139,144,622,5645,2018,2701743
"Madrid, Comunidad de",3261,49,51,188,4571,13353,61,63,997,15529,16614,110,114,1185,20100,2018,6578079
"Murcia, Región de",556,42,46,113,776,1962,20,20,172,2395,2518,62,66,285,3171,2018,1478509
"Navarra, Comunidad Foral de",271,24,29,62,331,554,6,6,57,617,825,30,35,119,948,2018,647554
"Rioja, La",195,6,6,28,249,407,4,4,40,502,602,10,10,68,751,2018,315675
Comunitat Valenciana,3758,134,143,422,5156,4428,40,40,361,5021,8186,174,183,783,10177,2018,4963703
País Vasco,2256,33,36,249,2887,2496,13,13,179,2836,4752,46,49,428,5723,2018,2199088
Andalucía,5755,193,214,666,8543,12209,90,90,682,15380,17964,283,304,1348,23923,2019,8414240
Aragón,1035,52,57,169,1391,1200,6,6,156,1303,2235,58,63,325,2694,2019,1319291
"Asturias, Principado de",922,21,22,114,1249,1059,9,9,78,1279,1981,30,31,192,2528,2019,1022800
"Balears, Illes",1330,27,30,160,1829,2026,19,19,127,2297,3356,46,49,287,4126,2019,1149460
Canarias,1874,45,49,242,2656,2526,25,25,196,3052,4400,70,74,438,5708,2019,2153389
Cantabria,618,13,13,56,890,302,4,5,21,365,920,17,18,77,1255,2019,581078
Castilla - La Mancha,1519,67,73,227,2042,1006,20,20,91,1130,2525,87,93,318,3172,2019,2032863
Castilla y León,2174,92,106,342,2862,1645,30,30,173,1828,3819,122,136,515,4690,2019,2399548
Cataluña,8420,180,199,758,11588,18156,105,105,881,21455,26576,285,304,1639,33043,2019,7675217
Extremadura,716,39,39,116,954,696,10,11,53,850,1412,49,50,169,1804,2019,1067710
Galicia,2783,96,103,405,3823,1744,24,24,229,2041,4527,120,127,634,5864,2019,2699499
"Madrid, Comunidad de",3216,89,96,190,4333,13412,62,63,674,15935,16628,151,159,864,20268,2019,6663394
"Murcia, Región de",591,34,35,92,863,2091,19,19,167,2667,2682,53,54,259,3530,2019,1493898
"Navarra, Comunidad Foral de",252,20,22,52,297,537,9,9,70,564,789,29,31,122,861,2019,654214
"Rioja, La",201,14,16,31,258,393,2,2,28,438,594,16,18,59,696,2019,316798
Comunitat Valenciana,3644,109,118,424,4937,4491,59,59,479,4942,8135,168,177,903,9879,2019,5003769
País Vasco,2260,44,44,253,2853,2592,21,21,176,2952,4852,65,65,429,5805,2019,2207776
Andalucía,4178,179,201,559,5734,8614,53,53,580,10583,12792,232,254,1139,16317,2020,8464411
Aragón,787,45,53,140,941,892,14,15,115,977,1679,59,68,255,1918,2020,1329391
"Asturias, Principado de",758,19,19,95,945,794,3,3,52,930,1552,22,22,147,1875,2020,1018784
"Balears, Illes",826,27,28,108,1109,1266,9,9,89,1384,2092,36,37,197,2493,2020,1171543
Canarias,1391,22,25,183,1846,2068,22,25,174,2462,3459,44,50,357,4308,2020,2175952
Cantabria,428,10,10,44,551,402,5,6,37,464,830,15,16,81,1015,2020,582905
Castilla - La Mancha,1170,78,85,154,1439,776,11,11,63,855,1946,89,96,217,2294,2020,2045221
Castilla y León,1540,91,99,292,1830,1055,27,27,132,1145,2595,118,126,424,2975,2020,2394918
Cataluña,5432,113,123,496,7040,12347,80,81,650,14344,17779,193,204,1146,21384,2020,7780479
Extremadura,517,23,29,98,618,512,11,11,46,586,1029,34,40,144,1204,2020,1063987
Galicia,2071,76,79,322,2624,1380,22,24,139,1612,3451,98,103,461,4236,2020,2701819
"Madrid, Comunidad de",2061,47,48,161,2833,8705,57,57,477,9851,10766,104,105,638,12684,2020,6779888
"Murcia, Región de",506,28,29,83,678,1542,10,10,117,1911,2048,38,39,200,2589,2020,1511251
"Navarra, Comunidad Foral de",195,15,17,32,237,381,2,3,65,371,576,17,20,97,608,2020,661197
"Rioja, La",214,14,16,38,226,247,0,0,23,277,461,14,16,61,503,2020,319914
Comunitat Valenciana,2760,82,87,325,3424,2924,39,42,362,3126,5684,121,129,687,6550,2020,5057353
País Vasco,1770,24,26,230,2164,2036,14,16,176,2216,3806,38,42,406,4380,2020,2220504
Andalucía,5008,206,226,561,7240,10464,76,76,614,13163,15472,282,302,1175,20403,2021,8484804
Aragón,965,44,46,162,1188,1150,5,5,163,1261,2115,49,51,325,2449,2021,1331938
"Asturias, Principado de",824,18,19,99,1073,1007,11,11,61,1168,1831,29,30,160,2241,2021,1012117
"Balears, Illes",1046,37,40,162,1389,1702,7,7,113,1845,2748,44,47,275,3234,2021,1183415
Canarias,1586,29,35,177,2130,2379,25,25,183,2846,3965,54,60,360,4976,2021,2178924
Cantabria,490,15,15,50,627,484,0,0,66,560,974,15,15,116,1187,2021,584708
Castilla - La Mancha,1487,82,91,232,1989,912,11,13,79,1030,2399,93,104,311,3019,2021,2052505
Castilla y León,1765,84,99,311,2248,1487,25,25,183,1598,3252,109,124,494,3846,2021,2385223
Cataluña,6958,148,157,595,9194,14937,83,85,806,17296,21895,231,242,1401,26490,2021,7749896
Extremadura,630,31,33,106,811,644,7,7,48,770,1274,38,40,154,1581,2021,1061636
Galicia,2225,80,84,297,2888,1695,20,20,190,2002,3920,100,104,487,4890,2021,2698177
"Madrid, Comunidad de",2608,65,72,128,3644,10868,55,55,663,12464,13476,120,127,791,16108,2021,6726640
"Murcia, Región de",501,31,32,88,762,2022,16,17,150,2535,2523,47,49,238,3297,2021,1518279
"Navarra, Comunidad Foral de",244,25,26,60,284,636,2,2,54,713,880,27,28,114,997,2021,662032
"Rioja, La",216,8,9,37,270,353,3,3,33,379,569,11,12,70,649,2021,319444
Comunitat Valenciana,3270,90,92,362,4385,4257,44,48,491,4644,7527,134,140,853,9029,2021,5067911
País Vasco,1945,36,40,212,2504,2514,17,17,229,2705,4459,53,57,441,5209,2021,2212628
Andalucía,4946,223,245,569,7104,11750,84,88,649,14653,16696,307,333,1218,21757,2022,8511167
Aragón,968,55,64,173,1177,1283,16,16,165,1365,2251,71,80,338,2542,2022,1328215
"Asturias, Principado de",770,26,26,88,992,992,8,8,78,1132,1762,34,34,166,2124,2022,1004960
"Balears, Illes",1145,26,29,178,1543,1933,9,9,144,2084,3078,35,38,322,3627,2022,1187043
Canarias,1904,41,44,172,2666,2301,23,24,242,2581,4205,64,68,414,5247,2022,2185607
Cantabria,483,14,14,57,611,526,7,7,56,624,1009,21,21,113,1235,2022,585450
Castilla - La Mancha,1567,81,87,234,2112,1037,10,10,85,1188,2604,91,97,319,3300,2022,2058278
Castilla y León,1754,130,148,370,2089,1764,31,31,198,1875,3518,161,179,568,3964,2022,2375583
Cataluña,7550,163,178,680,10204,15509,83,86,856,17693,23059,246,264,1536,27897,2022,7761823
Extremadura,638,33,35,96,860,840,6,6,66,968,1478,39,41,162,1828,2022,1056808
Galicia,2392,87,95,307,3102,2101,28,28,232,2435,4493,115,123,539,5537,2022,2692825
"Madrid, Comunidad de",2901,71,78,166,4054,12185,44,47,608,14139,15086,115,125,774,18193,2022,6743254
"Murcia, Región de",598,40,45,124,887,2538,14,14,164,3116,3136,54,59,288,4003,2022,1529658
"Navarra, Comunidad Foral de",269,28,30,55,290,519,7,7,90,511,788,35,37,145,801,2022,664514
"Rioja, La",252,9,9,45,298,402,3,3,26,436,654,12,12,71,734,2022,319617
Comunitat Valenciana,3131,106,117,346,4191,5953,55,58,701,6358,9084,161,175,1047,10549,2022,5108116
País Vasco,2015,28,29,226,2587,2443,26,26,231,2681,4458,54,55,457,5268,2022,2205826
Andalucía,5192,196,217,669,7415,12175,87,93,822,14999,17367,283,310,1491,22414,2023,8584147
Aragón,979,58,63,172,1226,1206,12,12,175,1288,2185,70,75,347,2514,2023,1341289
"Asturias, Principado de",821,37,41,112,1063,1021,8,8,86,1193,1842,45,49,198,2256,2023,1006060
"Balears, Illes",1228,44,48,194,1661,1643,16,16,130,1767,2871,60,64,324,3428,2023,1209906
Canarias,2011,39,41,183,2869,2259,28,28,201,2597,4270,67,69,384,5466,2023,2213016
Cantabria,549,14,16,59,663,631,8,8,67,708,1180,22,24,126,1371,2023,588387
Castilla - La Mancha,1678,96,106,253,2333,1250,17,17,129,1381,2928,113,123,382,3714,2023,2084086
Castilla y León,1975,121,136,415,2527,1971,30,31,208,2105,3946,151,167,623,4632,2023,2383703
Cataluña,8077,162,181,700,10906,15513,105,107,981,17893,23590,267,288,1681,28799,2023,7901963
Extremadura,641,50,53,110,842,901,17,17,88,1011,1542,67,70,198,1853,2023,1054306
Galicia,2494,88,96,373,3218,2111,30,32,289,2407,4605,118,128,662,5625,2023,2699424
"Madrid, Comunidad de",2834,73,80,213,3944,11846,55,57,680,13937,14680,128,137,893,17881,2023,6871903
"Murcia, Región de",668,42,44,82,960,2796,18,18,177,3407,3464,60,62,259,4367,2023,1551692
